CapabilityId	StandardId	IsOptional
C1	S25	0
C1	S26	0
C1	S27	0
C1	S28	0
C1	S29	0
C1	S30	0
C1	S31	0
C1	S63	0
C1	S65	0
C1	S69	0
C1	S21	0
C1	S49	0
C1	S32	0
C1	S24	0
C1	S47	0
C1	S68	0
C1	S1	0
C5	S25	0
C5	S26	0
C5	S27	0
C5	S28	0
C5	S29	0
C5	S30	0
C5	S31	0
C5	S63	0
C5	S65	0
C5	S69	0
C5	S22	0
C5	S49	0
C5	S32	0
C5	S24	0
C5	S44	0
C5	S56	1
C5	S66	1
C5	S5	0
C5	S62	0
C5	S59	1
C5	S50	1
C5	S47	0
C21	S25	0
C21	S26	0
C21	S27	0
C21	S28	0
C21	S29	0
C21	S30	0
C21	S31	0
C21	S63	0
C21	S65	0
C21	S69	0
C21	S24	0
C21	S32	0
C22	S25	0
C22	S26	0
C22	S27	0
C22	S28	0
C22	S29	0
C22	S30	0
C22	S31	0
C22	S63	0
C22	S65	0
C22	S69	0
C22	S24	0
C22	S32	0
C6	S25	0
C6	S26	0
C6	S27	0
C6	S28	0
C6	S29	0
C6	S30	0
C6	S31	0
C6	S63	0
C6	S65	0
C6	S69	0
C6	S32	0
C6	S24	0
C6	S6	0
C2	S25	0
C2	S26	0
C2	S27	0
C2	S28	0
C2	S29	0
C2	S30	0
C2	S31	0
C2	S63	0
C2	S65	0
C2	S69	0
C2	S21	0
C2	S49	0
C2	S32	0
C2	S24	0
C2	S47	0
C2	S68	0
C2	S2	0
C7	S25	0
C7	S26	0
C7	S27	0
C7	S28	0
C7	S29	0
C7	S30	0
C7	S31	0
C7	S63	0
C7	S65	0
C7	S69	0
C7	S22	0
C7	S32	0
C7	S38	0
C7	S24	0
C7	S7	0
C23	S25	0
C23	S26	0
C23	S27	0
C23	S28	0
C23	S29	0
C23	S30	0
C23	S31	0
C23	S63	0
C23	S65	0
C23	S69	0
C23	S24	0
C23	S44	0
C23	S32	0
C23	S56	1
C23	S66	1
C24	S25	0
C24	S26	0
C24	S27	0
C24	S28	0
C24	S29	0
C24	S30	0
C24	S31	0
C24	S63	0
C24	S65	0
C24	S69	0
C24	S24	0
C24	S32	0
C25	S25	0
C25	S26	0
C25	S27	0
C25	S28	0
C25	S29	0
C25	S30	0
C25	S31	0
C25	S63	0
C25	S65	0
C25	S69	0
C25	S24	0
C25	S32	0
C26	S25	0
C26	S26	0
C26	S27	0
C26	S28	0
C26	S29	0
C26	S30	0
C26	S31	0
C26	S63	0
C26	S65	0
C26	S69	0
C26	S24	0
C26	S32	0
C8	S25	0
C8	S26	0
C8	S27	0
C8	S28	0
C8	S29	0
C8	S30	0
C8	S31	0
C8	S63	0
C8	S65	0
C8	S69	0
C8	S22	0
C8	S32	0
C8	S24	0
C8	S58	0
C8	S34	0
C8	S50	0
C8	S8	0
C42	S25	0
C42	S26	0
C42	S27	0
C42	S28	0
C42	S29	0
C42	S30	0
C42	S31	0
C42	S63	0
C42	S65	0
C42	S69	0
C42	S32	0
C42	S22	0
C42	S24	0
C9	S25	0
C9	S26	0
C9	S27	0
C9	S28	0
C9	S29	0
C9	S30	0
C9	S31	0
C9	S63	0
C9	S65	0
C9	S69	0
C9	S22	0
C9	S49	0
C9	S32	0
C9	S24	0
C9	S9	0
C27	S25	0
C27	S26	0
C27	S27	0
C27	S28	0
C27	S29	0
C27	S30	0
C27	S31	0
C27	S63	0
C27	S65	0
C27	S69	0
C27	S24	0
C27	S32	0
C28	S25	0
C28	S26	0
C28	S27	0
C28	S28	0
C28	S29	0
C28	S30	0
C28	S31	0
C28	S63	0
C28	S65	0
C28	S69	0
C28	S24	0
C28	S32	0
C29	S25	0
C29	S26	0
C29	S27	0
C29	S28	0
C29	S29	0
C29	S30	0
C29	S31	0
C29	S63	0
C29	S65	0
C29	S69	0
C29	S24	0
C29	S32	0
C10	S25	0
C10	S26	0
C10	S27	0
C10	S28	0
C10	S29	0
C10	S30	0
C10	S31	0
C10	S63	0
C10	S65	0
C10	S69	0
C10	S22	0
C10	S32	0
C10	S24	0
C10	S10	0
C30	S25	0
C30	S26	0
C30	S27	0
C30	S28	0
C30	S29	0
C30	S30	0
C30	S31	0
C30	S63	0
C30	S65	0
C30	S69	0
C30	S24	0
C30	S32	0
C30	S44	0
C40	S25	0
C40	S26	0
C40	S27	0
C40	S28	0
C40	S29	0
C40	S30	0
C40	S31	0
C40	S63	0
C40	S65	0
C40	S69	0
C40	S32	0
C40	S24	0
C40	S71	0
C13	S25	0
C13	S26	0
C13	S27	0
C13	S28	0
C13	S29	0
C13	S30	0
C13	S31	0
C13	S63	0
C13	S65	0
C13	S69	0
C13	S22	0
C13	S49	0
C13	S32	0
C13	S24	0
C13	S53	0
C13	S56	0
C13	S43	0
C13	S44	0
C13	S60	0
C13	S33	0
C13	S46	0
C13	S59	0
C13	S40	0
C13	S55	0
C13	S54	0
C13	S66	1
C13	S48	0
C13	S64	0
C13	S50	0
C13	S13	0
C13	S47	0
C13	S70	0
C32	S25	0
C32	S26	0
C32	S27	0
C32	S28	0
C32	S29	0
C32	S30	0
C32	S31	0
C32	S63	0
C32	S65	0
C32	S69	0
C32	S24	0
C32	S32	0
C33	S25	0
C33	S26	0
C33	S27	0
C33	S28	0
C33	S29	0
C33	S30	0
C33	S31	0
C33	S63	0
C33	S65	0
C33	S69	0
C33	S24	0
C33	S32	0
C34	S25	0
C34	S26	0
C34	S27	0
C34	S28	0
C34	S29	0
C34	S30	0
C34	S31	0
C34	S63	0
C34	S65	0
C34	S69	0
C34	S24	0
C34	S32	0
C14	S25	0
C14	S26	0
C14	S27	0
C14	S28	0
C14	S29	0
C14	S30	0
C14	S31	0
C14	S63	0
C14	S65	0
C14	S69	0
C14	S22	0
C14	S49	0
C14	S32	0
C14	S24	0
C14	S36	0
C14	S56	0
C14	S40	0
C14	S55	0
C14	S47	0
C14	S14	0
C3	S25	0
C3	S26	0
C3	S27	0
C3	S28	0
C3	S29	0
C3	S30	0
C3	S31	0
C3	S63	0
C3	S65	0
C3	S69	0
C3	S21	0
C3	S49	0
C3	S32	0
C3	S24	0
C3	S47	0
C3	S68	0
C3	S3	0
C41	S25	0
C41	S26	0
C41	S27	0
C41	S28	0
C41	S29	0
C41	S30	0
C41	S31	0
C41	S63	0
C41	S65	0
C41	S69	0
C41	S24	0
C41	S32	0
C15	S25	0
C15	S26	0
C15	S27	0
C15	S28	0
C15	S29	0
C15	S30	0
C15	S31	0
C15	S63	0
C15	S65	0
C15	S69	0
C15	S22	0
C15	S32	0
C15	S24	0
C15	S37	0
C15	S50	0
C15	S47	0
C15	S15	0
C15	S39	0
C11	S25	0
C11	S26	0
C11	S27	0
C11	S28	0
C11	S29	0
C11	S30	0
C11	S31	0
C11	S63	0
C11	S65	0
C11	S69	0
C11	S22	0
C11	S32	0
C11	S24	0
C11	S35	0
C11	S56	0
C11	S40	0
C11	S55	0
C11	S47	0
C11	S11	0
C16	S25	0
C16	S26	0
C16	S27	0
C16	S28	0
C16	S29	0
C16	S30	0
C16	S31	0
C16	S63	0
C16	S65	0
C16	S69	0
C16	S22	0
C16	S32	0
C16	S24	0
C16	S16	0
C12	S25	0
C12	S26	0
C12	S27	0
C12	S28	0
C12	S29	0
C12	S30	0
C12	S31	0
C12	S63	0
C12	S65	0
C12	S69	0
C12	S32	0
C12	S24	0
C12	S47	0
C12	S12	0
C35	S25	0
C35	S26	0
C35	S27	0
C35	S28	0
C35	S29	0
C35	S30	0
C35	S31	0
C35	S63	0
C35	S65	0
C35	S69	0
C35	S24	0
C35	S32	0
C17	S25	0
C17	S26	0
C17	S27	0
C17	S28	0
C17	S29	0
C17	S30	0
C17	S31	0
C17	S63	0
C17	S65	0
C17	S69	0
C17	S32	0
C17	S24	0
C36	S25	0
C36	S26	0
C36	S27	0
C36	S28	0
C36	S29	0
C36	S30	0
C36	S31	0
C36	S63	0
C36	S65	0
C36	S69	0
C36	S24	0
C36	S32	0
C37	S25	0
C37	S26	0
C37	S27	0
C37	S28	0
C37	S29	0
C37	S30	0
C37	S31	0
C37	S63	0
C37	S65	0
C37	S69	0
C37	S24	0
C37	S32	0
C38	S25	0
C38	S26	0
C38	S27	0
C38	S28	0
C38	S29	0
C38	S30	0
C38	S31	0
C38	S63	0
C38	S65	0
C38	S69	0
C38	S24	0
C38	S32	0
C18	S25	0
C18	S26	0
C18	S27	0
C18	S28	0
C18	S29	0
C18	S30	0
C18	S31	0
C18	S63	0
C18	S65	0
C18	S69	0
C18	S32	0
C18	S24	0
C39	S25	0
C39	S26	0
C39	S27	0
C39	S28	0
C39	S29	0
C39	S30	0
C39	S31	0
C39	S63	0
C39	S65	0
C39	S69	0
C39	S24	0
C39	S44	0
C39	S32	0
C39	S56	1
C39	S66	1
C19	S25	0
C19	S26	0
C19	S27	0
C19	S28	0
C19	S29	0
C19	S30	0
C19	S31	0
C19	S63	0
C19	S65	0
C19	S69	0
C19	S32	0
C19	S24	0
C19	S19	0
C4	S25	0
C4	S26	0
C4	S27	0
C4	S28	0
C4	S29	0
C4	S30	0
C4	S31	0
C4	S63	0
C4	S65	0
C4	S69	0
C4	S21	0
C4	S49	0
C4	S32	0
C4	S24	0
C4	S47	0
C4	S68	0
C4	S4	0
C20	S25	0
C20	S26	0
C20	S27	0
C20	S28	0
C20	S29	0
C20	S30	0
C20	S31	0
C20	S63	0
C20	S65	0
C20	S69	0
C20	S22	0
C20	S32	0
C20	S24	0
C20	S20	0
